TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
10,453.15,8,0,8,5,16.89772727,2
90,388.15,10,1.019586252,0.5,60,19.77272727,2
74.70631424,448.15,20,0.101958625,0.5,29.70631424,18.74431818,3
16.52740189,388.15,8,0.407871928,8,5.277401894,18.86363636,3
53.40082272,473.15,40,0,0.425,49.14675768,20.9,2
45.45454545,473.15,8,0,8,0,19.886,2
275,403.15,10,1.019586252,0.5,240,19.77272727,2
50.23589188,388.15,8,0.101967982,8,38.98589188,18.86363636,3
65.72238605,448.15,20,0.101958625,0.5,20.72238605,16.59090909,1
104.901477,448.15,20,0.101958625,0.5,59.90147697,17.38636364,1
12,393.15,20,0.2,0.25,10,20.90909091,2
10,433.15,20,0.152937938,5,10,15.4,3
90,433.15,9,0.132546213,0.5,90,14.64,3
86,423.15,20,0,1.625,85.48090278,18.6,2
26.89073741,448.15,6,0,5,3.45323741,15.02,1
240.1533111,438.15,8,0,5,219.1533111,17.84090909,1
10.31395,473.15,3,0.20261577,2.75,10,15.94375124,2
79.964063,463.15,6,0,0.42,79.964063,24.88636364,2
58.71869239,433.15,6,0,0.595,58.71869239,15.1,2
60,368.15,10,0.101307885,0.5125,55,16.3,1
105,418.15,8,0,8,90,18.86363636,1
40,433.15,9,0.132546213,0.5,40,14.64,2
80,400.15,8,0.607847309,0.5,79.01163889,33.20454545,2
30,433.15,10,0.333044695,0.84,30,19.96590909,1
45,418.15,8,0,8,30,18.86363636,1
735.29,373.44,10,1.019586252,0.5,660,19.77272727,2
17,468.15,10,0.076468969,1,7,18.75,2
70.601983,448.15,20,0.101958625,0.5,25.601983,16.99431818,3
70,453.15,5,0,0.177,60,12.16,2
150,388.15,10,1.019586252,0.5,120,19.77272727,2
201.7994859,433.15,7.69,0,5,51.79948586,17.84090909,1
70,403.15,9,0.132546213,0.5,70,14.64,1
71.61894913,448.15,20,0.101958625,0.5,26.61894913,16.59090909,2
60,443.15,4,0.045708819,0.42,60,25.02272727,2
20,453.15,8,0,8,15,16.89772727,1
20,423.15,8,0.75,0.5,20,14.64,3
177.2289601,388.15,8,0.203935964,8,165.9789601,18.86363636,3
35.03884674,453.15,10,0,0.5,31.63884674,20.909,3
69.87110744,398.15,8,0.305903946,8,57.37110744,18.86363636,3
14,458.15,10,0.076468969,1,2,18.75,2
335,403.15,10,0.611751751,0.5,300,19.77272727,2
78.75,448.15,6,0,8,60,18.86363636,2
40,473.15,8,0,8,35,16.89772727,2
50,393.15,4,0,4,30,19.48,1
26.25,448.15,6,0,8,7.5,18.86363636,1
42.50196882,433.15,10,0.137136588,0.5,40.00196882,20.909,1
1.253333333,443.15,3.9,0.0815669,0.38,0.92,21.93181818,2
188.5259257,373.65,8,0.407871928,8,179.0884257,18.86363636,3
95,403.15,10,1.019586252,0.5,60,19.77272727,2
60,433.15,4,0,4,20,19.48,1
44.65281733,388.15,8,0.101967982,8,33.40281733,18.86363636,3
150,388.15,10,1.223503502,0.5,120,19.77272727,2
585,413.15,5.666666667,0,2,570,19.31818182,2
